,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10552,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19541606.0,19541606.0,False,,1,,,,2023-11-14T01:59:00.000Z,36358.702071224274,19199058858.008778,62.0531,0.36748267,-2.31451565,4.01703337,35.18644648,37.16060806,24.46690518,710507430547.2487,51.0942,763532743495.71,,2023-11-14T01:59:00.000Z,,,,,,2023-11-14 09:00:40.335438
1,1027,Ethereum,ETH,ethereum,7776,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120260281.43503532,120260281.43503532,True,,2,,,,2023-11-14T01:59:00.000Z,2043.7484983005425,14371965301.005125,82.7315,0.51271694,-0.95939299,7.91660987,31.35679073,25.54532866,11.76642602,245781769588.05405,17.6795,245781769588.05,,2023-11-14T01:59:00.000Z,,,,,,2023-11-14 09:00:40.335438
2,825,Tether USDt,USDT,tether,65639,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,86804455790.35953,90623656723.10593,True,,3,,,,2023-11-14T01:58:00.000Z,1.0003366231310145,48126052167.80966,43.3834,-0.00378586,-0.04090036,-0.00505089,0.02654494,0.02939892,0.14010502,86833676178.05368,6.2448,90654162742.18,,2023-11-14T01:58:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-14 09:00:40.335438
3,1839,BNB,BNB,bnb,1758,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151701486.67280546,151701486.67280546,False,,4,,,,2023-11-14T01:58:00.000Z,241.50678462855973,917395849.2453352,28.5002,0.97212477,-3.2008125,-4.13896652,16.156878,13.90396986,2.08888045,36636938269.72155,2.6347,36636938269.72,,2023-11-14T01:58:00.000Z,,,,,,2023-11-14 09:00:40.335438
4,52,XRP,XRP,xrp,1141,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53652766196.0,99988240531.0,False,,5,,,,2023-11-14T01:59:00.000Z,0.6626059963496833,3227158332.891149,248.5612,0.588914,-0.44337062,-3.86358957,35.98440313,34.56783145,9.21314836,35550644602.217186,2.5572,66260599634.97,,2023-11-14T01:59:00.000Z,,,,,,2023-11-14 09:00:40.335438
5,3408,USDC,USDC,usd-coin,14917,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24027752526.76537,24027752526.76537,False,,6,,,,2023-11-14T01:59:00.000Z,1.0000998165015773,5910622531.569135,73.3365,0.01765585,-0.00162549,0.01110991,-0.00679682,-0.00139999,-0.00775947,24030150892.963356,1.7284,24030150892.96,,2023-11-14T01:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-14 09:00:40.335438
6,5426,Solana,SOL,solana,546,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,422402824.22940254,562465830.1857917,True,,7,,,,2023-11-14T01:59:00.000Z,54.27471121026659,2998595075.785681,3.3768,3.08980667,-7.50818564,30.74911023,145.53175326,186.87945407,126.93631239,22925791299.45182,1.6487,30527670498.98,,2023-11-14T01:59:00.000Z,,,,,,2023-11-14 09:00:40.335438
7,2010,Cardano,ADA,cardano,970,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35268823727.238,36350273102.308,False,,8,,,,2023-11-14T01:58:00.000Z,0.35457928104416786,446870852.5852912,18.5801,0.96404213,-8.12411003,-2.22828246,43.16833779,40.65274762,25.9537328,12505594160.47754,0.8994,15956067646.99,,2023-11-14T01:58:00.000Z,,,,,,2023-11-14 09:00:40.335438
8,74,Dogecoin,DOGE,dogecoin,824,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141819216383.70526,141819216383.70526,True,,9,,,,2023-11-14T01:59:00.000Z,0.07425725683552531,850129378.1224595,29.9035,0.82186417,-6.08766733,-1.42580891,24.38881152,19.60483894,4.44766067,10531105975.217741,0.7574,10531105975.22,,2023-11-14T01:59:00.000Z,,,,,,2023-11-14 09:00:40.335438
9,1958,TRON,TRX,tron,868,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88678203962.38066,88678215072.69897,True,,10,71659659264.0,7609184911.397064,,2023-11-14T01:58:00.000Z,0.10618505571404142,292816906.61409587,32.7476,0.04826652,-2.63726045,9.00162711,24.51637057,27.21003412,38.65596949,9416300028.36652,0.6771,9416301208.12,,2023-11-14T01:58:00.000Z,,,,,,2023-11-14 09:00:40.335438
